采样点,日期/时间,AI0 (V),AI1 (V),AI2 (V),AI3 (V),AI4 (V),AI5 (V),AI6 (V),AI7 (V)
0,2023/11/16 15:03:17.249,0.03281,0.00015,0.00076,0.00259,0.00076,-0.00015,0.00046,0.00069
1,2023/11/16 15:03:17.250,0.03250,0.00015,0.00076,0.00259,0.00076,-0.00076,-0.00015,0.00053
2,2023/11/16 15:03:17.251,0.03250,0.00046,0.00046,0.00259,0.00107,-0.00015,0.00015,0.00053
3,2023/11/16 15:03:17.252,0.03281,0.00046,0.00046,0.00259,0.00107,0.00015,0.00015,0.00053
4,2023/11/16 15:03:17.253,0.03250,0.00015,0.00046,0.00259,0.00107,-0.00015,-0.00015,0.00069
5,2023/11/16 15:03:17.254,0.03250,0.00015,0.00015,0.00290,0.00076,-0.00076,-0.00015,0.00069
6,2023/11/16 15:03:17.255,0.03250,0.00015,0.00046,0.00290,0.00046,-0.00076,0.00046,0.00069
7,2023/11/16 15:03:17.256,0.03281,0.00046,0.00046,0.00290,0.00107,-0.00015,0.00015,0.00053
8,2023/11/16 15:03:17.257,0.03220,0.00015,0.00046,0.00259,0.00046,-0.00015,-0.00015,0.00069
9,2023/11/16 15:03:17.258,0.03250,0.00015,0.00015,0.00259,0.00107,-0.00015,-0.00015,0.00053
10,2023/11/16 15:03:17.259,0.03281,-0.00015,0.00015,0.00229,0.00076,0.00015,0.00046,0.00038
11,2023/11/16 15:03:17.260,0.03281,0.00015,0.00015,0.00259,0.00076,-0.00015,0.00015,0.00069
12,2023/11/16 15:03:17.261,0.03281,0.00015,0.00015,0.00259,0.00107,-0.00015,0.00015,0.00069
13,2023/11/16 15:03:17.262,0.03250,0.00015,0.00015,0.00259,0.00107,-0.00015,0.00046,0.00053
14,2023/11/16 15:03:17.263,0.03281,0.00015,0.00046,0.00229,0.00076,-0.00015,0.00015,0.00053
15,2023/11/16 15:03:17.264,0.03250,0.00015,0.00046,0.00259,0.00076,0.00015,0.00015,0.00053
16,2023/11/16 15:03:17.265,0.03281,-0.00015,0.00015,0.00229,0.00107,-0.00015,0.00015,0.00069
17,2023/11/16 15:03:17.266,0.03220,-0.00015,-0.00015,0.00259,0.00046,-0.00015,0.00015,0.00053
18,2023/11/16 15:03:17.267,0.03281,0.00046,0.00015,0.00229,0.00076,-0.00015,0.00015,0.00069
19,2023/11/16 15:03:17.268,0.03281,0.00046,0.00015,0.00259,0.00076,-0.00015,0.00015,0.00053
20,2023/11/16 15:03:17.269,0.03250,0.00046,0.00076,0.00229,0.00107,-0.00015,0.00015,0.00053
21,2023/11/16 15:03:17.270,0.03250,0.00015,0.00076,0.00259,0.00076,-0.00015,0.00046,0.00053
22,2023/11/16 15:03:17.271,0.03250,-0.00015,0.00076,0.00259,0.00107,-0.00076,0.00015,0.00069
23,2023/11/16 15:03:17.272,0.03250,0.00046,0.00015,0.00229,0.00076,0.00015,0.00015,0.00053
24,2023/11/16 15:03:17.273,0.03281,0.00015,0.00015,0.00259,0.00107,-0.00015,0.00015,0.00053
25,2023/11/16 15:03:17.274,0.03250,0.00015,0.00046,0.00259,0.00076,-0.00015,-0.00015,0.00053
26,2023/11/16 15:03:17.275,0.03220,0.00046,0.00046,0.00229,0.00076,-0.00015,0.00046,0.00053
27,2023/11/16 15:03:17.276,0.03281,0.00046,0.00076,0.00259,0.00015,-0.00015,0.00015,0.00053
28,2023/11/16 15:03:17.277,0.03220,0.00015,0.00046,0.00229,0.00107,-0.00015,0.00046,0.00069
29,2023/11/16 15:03:17.278,0.03250,0.00015,0.00015,0.00229,0.00076,-0.00076,0.00015,0.00053
30,2023/11/16 15:03:17.279,0.03250,-0.00015,-0.00015,0.00229,0.00107,-0.00015,0.00015,0.00053
31,2023/11/16 15:03:17.280,0.03281,0.00015,0.00015,0.00320,0.00046,-0.00015,0.00015,0.00069
32,2023/11/16 15:03:17.281,0.03250,-0.00015,-0.00015,0.00229,0.00107,0.00015,0.00015,0.00069
33,2023/11/16 15:03:17.282,0.03250,0.00015,0.00046,0.00259,0.00107,-0.00015,0.00015,0.00069
34,2023/11/16 15:03:17.283,0.03250,0.00015,0.00046,0.00290,0.00107,-0.00015,0.00015,0.00069
35,2023/11/16 15:03:17.284,0.03281,0.00015,0.00076,0.00259,0.00107,-0.00015,-0.00015,0.00069
36,2023/11/16 15:03:17.285,0.03281,0.00015,0.00046,0.00229,0.00107,-0.00076,0.00015,0.00084
